1,2,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,1,2,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,1
15,33,8,25,154,21,0,19,0,2,0,0,0,0,7,0,0,7,0,0,0,0,0,133,17,0,9,1,1,9,0,16,2,14,3,0,1,0,58,1,0,15,33,8,25,154,21,0,19,0,2,0,0,0,0,7,0,0,7,0,0,0,0,0,133,17,0,9,1,1,9,0,16,2,14,3,0,1,0,58,1,0,1
2,2,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,2,0,2,2,2,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,2,0,1
19,13,1,17,16,9,0,3,0,0,6,0,0,0,12,0,0,12,0,0,0,0,0,60,6,1,0,0,0,6,0,7,0,14,2,0,0,0,44,1,0,19,13,1,17,16,9,0,3,0,0,6,0,0,0,12,0,0,12,0,0,0,0,0,60,6,1,0,0,0,6,0,7,0,14,2,0,0,0,44,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
1,2,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,1,0,1,1,0,0,0,18,4,0,1,2,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,1,0,1,1,0,0,0,18,4,0,1
6,14,2,15,0,5,0,5,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,116,2,0,2,0,3,0,9,47,22,28,2,0,1,0,111,1,0,6,14,2,15,0,5,0,5,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,116,2,0,2,0,3,0,9,47,22,28,2,0,1,0,111,1,0,1
4,6,2,2,3,3,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,20,5,0,2,0,0,1,2,3,0,3,1,0,0,0,27,1,0,4,6,2,2,3,3,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,20,5,0,2,0,0,1,2,3,0,3,1,0,0,0,27,1,0,1
8,7,2,4,13,7,0,6,0,1,0,0,0,0,6,4,0,6,0,0,4,0,0,35,5,0,0,0,0,7,0,10,0,9,0,0,0,0,45,1,0,8,7,2,4,13,7,0,6,0,1,0,0,0,0,6,4,0,6,0,0,4,0,0,35,5,0,0,0,0,7,0,10,0,9,0,0,0,0,45,1,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
3,5,1,2,0,5,0,5,0,0,0,0,0,0,4,2,0,4,0,0,2,0,1,22,2,0,0,0,0,4,0,6,0,4,0,0,0,0,38,1,0,3,5,1,2,0,5,0,5,0,0,0,0,0,0,4,2,0,4,0,0,2,0,1,22,2,0,0,0,0,4,0,6,0,4,0,0,0,0,38,1,0,1
1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,21,-1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,21,-1,0,1
2,2,2,0,1,2,1,1,1,0,0,0,0,0,3,3,0,1,0,2,3,0,0,11,1,0,0,0,0,2,1,3,0,3,0,0,0,0,15,10,0,2,2,2,0,1,2,1,1,1,0,0,0,0,0,3,3,0,1,0,2,3,0,0,11,1,0,0,0,0,2,1,3,0,3,0,0,0,0,15,10,0,1
1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,-1,0,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,-1,0,1
2,2,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,1,0,0,0,6,1,0,1,1,0,0,0,29,2,0,2,2,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,1,0,0,0,6,1,0,1,1,0,0,0,29,2,0,1
19,39,4,46,119,19,0,11,2,6,0,0,0,0,10,2,0,10,0,0,2,0,2,179,11,0,15,1,5,14,15,31,2,24,3,2,2,0,189,1,1,19,39,4,46,119,19,0,11,2,6,0,0,0,0,10,2,0,10,0,0,2,0,2,179,11,0,15,1,5,14,15,31,2,24,3,2,2,0,189,1,1,1
3,2,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,2,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1
